TRI_FACILITY_ID,ENVIRONMENTAL_MEDIUM,TOTAL_RELEASE,FACILITY_NAME,STREET_ADDRESS,CITY_NAME,COUNTY_NAME,STATE_ABBR,PREF_LATITUDE,PREF_LONGITUDE
75243DRSNF13532,AIR STACK,10561,DRS NIS LLC,13532 N CENTRAL EXPRESSWAY,DALLAS,DALLAS,TX,,
75265BLDNG2600S,AIR STACK,.41,BMIC LLC,2600 SINGLETON BLVD,DALLAS,DALLAS,TX,,
75244RMXNC13524,AIR STACK,80,SIKA - DALLAS TX,13524 WELCH RD,DALLAS,DALLAS,TX,32.931111,96.829722
75243RLQDL13546,AIR STACK,9.2,AIR LIQUIDE ELECTRONICS U.S. LP,13546 N CENTRAL EXPRESSWAY,DALLAS,DALLAS,TX,,
75215MRTNF2944O,AIR STACK,438.98,MARTIN SPROCKET & GEAR INC,2944 OAK LN,DALLAS,DALLAS,TX,32.776318,96.773339
75203RCKTN1100E,AIR STACK,.235,WESTROCK CONVERTING CO (DALLAS MILL),1100 E CLARENDON DR,DALLAS,DALLAS,TX,32.744562,96.80804
75229GHHNS2108J,AIR STACK,1,HENSLEY INDUSTRIES INC,2108 JOE FIELD RD,DALLAS,DALLAS,TX,32.883333,96.908333
75207BCKLY1809R,AIR STACK,250,BUCKLEY OIL CO - DALLAS FACILITY,1809 ROCK ISLAND ST,DALLAS,DALLAS,TX,,
7521WHGHLN3851P,AIR STACK,4339,HIGHLINE WARREN - DALLAS,3851 PIPESTONE RD,DALLAS,DALLAS,TX,,
75220RYLCH2851R,AIR STACK,2,ROYAL CHEMICAL CO,2851 REWARD LN,DALLAS,DALLAS,TX,,
75247MFCNC16REG,AIR FUG,.9976,EMF CO INC,106 REGAL ROW,DALLAS,DALLAS,TX,,
7522WNDLLS118LU,AIR FUG,.0588,REDI-MIX - NORTH DALLAS,11080 LUNA RD,DALLAS,DALLAS,TX,,
7521WRDMXL331NA,AIR FUG,.0767,REDI-MIX - SOUTH DALLAS,3301 NATIONAL ST,DALLAS,DALLAS,TX,,
75227MSTRH8431H,AIR FUG,4.077,MASTER-HALCO,8431 HOYLE AVE,DALLAS,DALLAS,TX,,
75235JNSBL2728E,AIR FUG,111.509,JONES-BLAIR CO,2728 EMPIRE CENTRAL,DALLAS,DALLAS,TX,32.8325,96.845556
7522WLTTMR1362B,AIR FUG,.019,HOLCIM-SOR INC. - DALLAS RM,10362 BICKHAM,DALLAS,DALLAS,TX,,
7521WTHRML351WC,AIR FUG,.02,THERMAL SOLUTIONS MANUFACTURING INC.,3051 W. COMMERCE STREET,DALLAS,DALLAS,TX,,
7521WRDMXL331NA,AIR STACK,.1012,REDI-MIX - SOUTH DALLAS,3301 NATIONAL ST,DALLAS,DALLAS,TX,,
75243TXSNS13500,AIR STACK,2589,TEXAS INSTRUMENTS INC,13500 N CENTRAL EXPRESSWAY,DALLAS,DALLAS,TX,32.929167,96.7625
75227MSTRH8431H,AIR STACK,.018,MASTER-HALCO,8431 HOYLE AVE,DALLAS,DALLAS,TX,,
75212PLSTN222CH,AIR STACK,.00097,BEST BLOCK DALLAS CHALK HILL PLANT DALB1950,2202 CHALK HILL RD,DALLAS,DALLAS,TX,,
75243RLQDL13546,AIR STACK,1456,AIR LIQUIDE ELECTRONICS U.S. LP,13546 N CENTRAL EXPRESSWAY,DALLAS,DALLAS,TX,,
7522WTXSPN1615S,AIR STACK,.002,TXI-SPANGLER CTM,10615 SPANGLER RD,DALLAS,DALLAS,TX,,
7525WLTTMR15FRE,AIR STACK,.033,HOLCIM-SOR INC. - DALLAS DT RM,1005 FOREST AVE,DALLAS,DALLAS,TX,,
75235JNSBL2728E,AIR STACK,10.5734,JONES-BLAIR CO,2728 EMPIRE CENTRAL,DALLAS,DALLAS,TX,32.8325,96.845556
7522WLTTMR1362B,AIR STACK,.052,HOLCIM-SOR INC. - DALLAS RM,10362 BICKHAM,DALLAS,DALLAS,TX,,
75229GHHNS2108J,AIR STACK,2,HENSLEY INDUSTRIES INC,2108 JOE FIELD RD,DALLAS,DALLAS,TX,32.883333,96.908333
